Taxa	E474001	E474001_2	E474005	E474005_2	E474014	E474014_2	E474043	E474043_2	E474079	E474079_2	E474086	E474086_2	E474091	E474091_2	E474099	E474099_2	E474103	E474103_2	E474107	E474107_2	E474143	E474143_2	E474148	E474148_2	E474160	E474160_2	E474175	E474175_2	E474179	E474179_2	E474198	E474198_2	E474207	E474207_2	E474217	E474217_2	E474237	E474237_2	E478618	E478618_2	E478631	E478631_2	E478635	E478635_2	E478639	E478639_2	E478655	E478655_2	E478672	E478672_2	E478677	E478677_2	E478685	E478685_2	E478689	E478689_2	E478706	E478706_2	E478732	E478732_2	E478745	E478745_2	E478748	E478748_2	E478752	E478752_2	E478847	E478847_2	E478851	E478851_2	E478867	E478867_2	E478887	E478887_2	E478895	E478895_2	E478907	E478907_2	E478929	E478929_2	E478933	E478933_2	E478941	E478941_2	E478949	E478949_2	E478954	E478954_2	E478959	E478959_2	E478964	E478964_2	E478969	E478969_2	E478973	E478973_2	E478977	E478977_2	E478981	E478981_2	E478985	E478985_2	E478989	E478989_2	E478993	E478993_2	E478997	E478997_2
Phycis_chesteri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2634	0.414367816	0	0	0	0.0328125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pollachius_virens	6753	35.08	0	18.18607955	0	0.798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.481321839	0	0	0	0	0	0	0	0	0	0	0	0	0	121.3896552	0	0	0	53.6	0	0	0	0	0	0	0	1.485555556	0	0	0	6.382352941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.90751445	0	0	0	0	0	0	0	34.02	0	5.81	0	7.427777778	0	0	0	32.00578035	0	13.16477273	3059	89.8433908	0	2.012	0	0.119836957	0	10.23224044	0	0	0	0	0	0	0	0	0	0
Scomber_scombrus	0	10.88	0	1.561079545	0	0	0	0	0	0	0	0	11756	0	0	0	0	0	0	0	0	0	49373	0.018421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.565833333	0	0	0	0	0	0	2968	0	16784	0.627941176	0	0	0	0	0	0	0	0	5572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10272	0	0	0	0	0	0	0	0	0	0	0	0	0
Sebastes	0	0	0	0.008948864	0	0	2126	0	0	0	0	0	0	4.319364162	0	0	26605	0.050710227	0	0	35437	953.8908046	24573	69.91812865	607965	22.89914773	6300	8.900862069	25737	23.16730769	0	0	0	0	4578	440.8913793	0	0	0	16.1	0	0	0	0	0	0.8071875	0	74.10277778	0	4.783333333	43277	2.645588235	0	0	9518	0	0	0	0	0	0	0	0	0.067666667	0	0	0	0.01627907	2851	0	0	20.63583815	0	0	0	81.26436782	0	0	0	1.46	6616	3.54	0	48.20277778	10864	14.01573034	0	0.137572254	0	0.013920455	0	21.22126437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Squalus_acanthias	0	22.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.27241379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6840	0	1017	0	36734	217.3236994	0	0	0	0	0	0	35139	0	3752	11.35	445	30.95555556	5507	22.33707865	251	11.82514451	3943	1.638636364	534	52.03735632	227	0	0	15.35054348	0	18.47540984	11098	205.7921348	0	0.82	1673	0	0	23.93323864	0	238.2359551
Tautogolabrus_adspersus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5796	0.170882353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.509090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48239	0	0	10.42349727	0	0.054073034	0	0	0	0	0	0	0	0
Triglops_murrayi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179069767	0	0.009943182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042275281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06488764	0	0	0	0	0	0	2321	0
Urophycis_chuss	0	0	0	0	9803	4.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.505	7156	1.293055556	5389	0	15826	0.04921875	2438	0	0	2.411111111	0	0.957352941	0	1.225	0	0	0	0.754558824	0	0	0	0	0	0	0	0	0	1.485465116	0	0	0	1.476878613	5	1.577034884	0	0.030172414	0	3.509943182	0	1.94	0	2.14	0	0.268333333	0	0	0	0.428901734	14	0.725852273	0	0	0	10.62	0	0	3775	0	0	0	8874	0.432	62279	1.066091954	0	0	0	0
Urophycis_tenuis	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	3.882183908	0	4.144736842	0	0	0	1.005747126	4467	0	0	0	0	0	0	0	0	0	0	7.4125	0	0	0	0	0	0	0	9.352777778	0	0	52315	3.788235294	0	1.378611111	0	0	0	0.254264706	0	0	0	0	0	0.232166667	0	0	0	0	0	0	0	15.11271676	0	3.184593023	0	0.752298851	87	0.924715909	0	34.59	0	15.3	0	14.71944444	0	11.06039326	0	9.033236994	0	0	0	12.29022989	0	1.494	0	0	0	0	2278	0.360814607	2837	0	0	0	0	0	0	0.963483146
Zoarces_americanus	0	1.222	0	0	0	0.061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0.084411765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44888	2.891304348	5504	0	0	0.656741573	0	0	0	0	0	0	0	0
