Taxa	eDNA_16S	verts_count	log_eDNA_16S	log_verts_count
Merluccius_bilinearis	11725	3.825136612	4.06914989	0.683509614
Scomber_scombrus	0	3.888888889	0	0.689210167
Helicolenus_dactylopterus	0	3.888888889	0	0.689210167
Melanogrammus_aeglefinus	0	3.977272727	0	0.696991438
Hippoglossus_hippoglossus	0	4	0	0.698970004
Myoxocephalus_octodecemspinosus	0	4	0	0.698970004
Pollachius_virens	0	4	0	0.698970004
Urophycis_chuss	8874	4	3.948168362	0.698970004
Pollachius_virens	0	4.022988506	0	0.700962184
Urophycis_tenuis	0	4.022988506	0	0.700962184
Urophycis_tenuis	0	4.022988506	0	0.700962184
Urophycis_tenuis	0	4.022988506	0	0.700962184
Urophycis_tenuis	0	4.046242775	0	0.702968141
Clupea_harengus	0	4.242424242	0	0.719532163
Squalus_acanthias	0	4.755434783	0	0.760078137
Clupea_harengus	0	4.915730337	0	0.772008369
Scomber_scombrus	0	4.971590909	0	0.776090048
Clupea_harengus	0	5	0	0.77815125
Clupea_harengus	0	5	0	0.77815125
Sebastes	0	5	0	0.77815125
Merluccius_bilinearis	10002	5	4.000130269	0.77815125
Urophycis_tenuis	0	5.028735632	0	0.78022624
Urophycis_chuss	62279	5.028735632	4.794348604	0.78022624
Sebastes	0	5.087209302	0	0.784418235
Melanogrammus_aeglefinus	0	5.384615385	0	0.80513474
Merluccius_bilinearis	480829	5.46875	5.681991556	0.810820367
Urophycis_tenuis	0	5.833333333	0	0.834632606
Glyptocephalus_cynoglossus	0	5.833333333	0	0.834632606
Urophycis_tenuis	0	5.833333333	0	0.834632606
Triglops_murrayi	0	5.898876404	0	0.838778364
Leptoclinus_maculatus	12366	5.965909091	4.092264361	0.842977802
Urophycis_tenuis	0	6	0	0.84509804
Squalus_acanthias	3752	6	3.574378564	0.84509804
Glyptocephalus_cynoglossus	0	6.25	0	0.860338007
Merluccius_bilinearis	23850	6.657608696	4.377506592	0.88409317
Squalus_acanthias	0	6.693989071	0	0.886151565
Melanogrammus_aeglefinus	0	6.805555556	0	0.892403819
Melanogrammus_aeglefinus	0	6.805555556	0	0.892403819
Pollachius_virens	0	6.805555556	0	0.892403819
Urophycis_chuss	7156	6.805555556	3.854731017	0.892403819
Glyptocephalus_cynoglossus	0	6.882022472	0	0.896637669
Triglops_murrayi	0	6.882022472	0	0.896637669
Helicolenus_dactylopterus	0	6.960227273	0	0.900925467
Leptoclinus_maculatus	0	7.122093023	0	0.909667959
Glyptocephalus_cynoglossus	0	7.122093023	0	0.909667959
Glyptocephalus_cynoglossus	11061	7.16374269	4.043833654	0.911889308
Merluccius_bilinearis	0	7.65625	0	0.937329791
Pollachius_virens	0	7.954545455	0	0.952043545
Clupea_harengus	0	8	0	0.954242509
Melanogrammus_aeglefinus	0	8	0	0.954242509
Glyptocephalus_cynoglossus	5056	8	3.703892954	0.954242509
Melanogrammus_aeglefinus	0	8.045977011	0	0.95645548
Melanogrammus_aeglefinus	0	8.948863636	0	0.997773478
Lumpenus_lampretaeformis	35255	8.948863636	4.547233038	0.997773478
Melanogrammus_aeglefinus	0	9	0	1
Myoxocephalus_octodecemspinosus	0	9.051724138	0	1.002240561
Urophycis_chuss	0	9.104046243	0	1.004495325
