Taxa	EDNA20_474001	EDNA20_474001_2	EDNA20_474005	EDNA20_474005_2	EDNA20_474014	EDNA20_474014_2	EDNA20_474043	EDNA20_474043_2	EDNA20_474079	EDNA20_474079_2	EDNA20_474086	EDNA20_474086_2	EDNA20_474091	EDNA20_474091_2	EDNA20_474099	EDNA20_474099_2	EDNA20_474103	EDNA20_474103_2	EDNA20_474107	EDNA20_474107_2	EDNA20_474143	EDNA20_474143_2	EDNA20_474148	EDNA20_474148_2	EDNA20_474160	EDNA20_474160_2	EDNA20_474175	EDNA20_474175_2	EDNA20_474179	EDNA20_474179_2	EDNA20_474198	EDNA20_474198_2	EDNA20_474207	EDNA20_474207_2	EDNA20_474217	EDNA20_474217_2	EDNA20_474237	EDNA20_474237_2	EDNA20_478618	EDNA20_478618_2	EDNA20_478631	EDNA20_478631_2	EDNA20_478635	EDNA20_478635_2	EDNA20_478639	EDNA20_478639_2	EDNA20_478655	EDNA20_478655_2	EDNA20_478672	EDNA20_478672_2	EDNA20_478677	EDNA20_478677_2	EDNA20_478685	EDNA20_478685_2	EDNA20_478689	EDNA20_478689_2	EDNA20_478706	EDNA20_478706_2	EDNA20_478732	EDNA20_478732_2	EDNA20_478745	EDNA20_478745_2	EDNA20_478748	EDNA20_478748_2	EDNA20_478752	EDNA20_478752_2	EDNA20_478847	EDNA20_478847_2	EDNA20_478851	EDNA20_478851_2	EDNA20_478867	EDNA20_478867_2	EDNA20_478887	EDNA20_478887_2	EDNA20_478895	EDNA20_478895_2	EDNA20_478907	EDNA20_478907_2	EDNA20_478929	EDNA20_478929_2	EDNA20_478933	EDNA20_478933_2	EDNA20_478941	EDNA20_478941_2	EDNA20_478949	EDNA20_478949_2	EDNA20_478954	EDNA20_478954_2	EDNA20_478959	EDNA20_478959_2	EDNA20_478964	EDNA20_478964_2	EDNA20_478969	EDNA20_478969_2	EDNA20_478973	EDNA20_478973_2	EDNA20_478977	EDNA20_478977_2	EDNA20_478981	EDNA20_478981_2	EDNA20_478985	EDNA20_478985_2	EDNA20_478989	EDNA20_478989_2	EDNA20_478993	EDNA20_478993_2	EDNA20_478997	EDNA20_478997_2
Phycis_chesteri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.059060944	0.414367816	0	0	0	0.0328125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001769285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pollachius_virens	0.010370675	35.08	0	18.18607955	0	0.798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.481321839	0	0	0	0	0	0	0	0	0	0	0	0	0	121.3896552	0	0	0	53.6	0	0	0	0	0	0	0	1.485555556	0	0	0	6.382352941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.90751445	0	0	0	0	0	0	0	34.02	0	5.81	0	7.427777778	0	0	0	32.00578035	0	13.16477273	0.032504171	89.8433908	0	2.012	0	0.119836957	0	10.23224044	0	0	0	0	0	0	0	0	0	0
Scomber_scombrus	0	10.88	0	1.561079545	0	0	0	0	0	0	0	0	0.195324572	0	0	0	0	0	0	0	0	0	0.384351305	0.018421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.565833333	0	0	0	0	0	0	0.052217667	0	0.027167016	0.627941176	0	0	0	0	0	0	0	0	0.009070442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020005375	0	0	0	0	0	0	0	0	0	0	0	0	0
Sebastes	0	0	0	0.008948864	0	0	0.141950992	0	0	0	0	0	0	4.319364162	0	0	0.32315466	0.050710227	0	0	0.794587201	953.8908046	0.191292095	69.91812865	0.940947502	22.89914773	0.104540024	8.900862069	0.415213358	23.16730769	0	0	0	0	0.193859835	440.8913793	0	0	0	16.1	0	0	0	0	0	0.8071875	0	74.10277778	0	4.783333333	0.070049271	2.645588235	0	0	0.12706253	0	0	0	0	0	0	0	0	0.067666667	0	0	0	0.01627907	0.504423213	0	0	20.63583815	0	0	0	81.26436782	0	0	0	1.46	0.304183908	3.54	0	48.20277778	0.663612485	14.01573034	0	0.137572254	0	0.013920455	0	21.22126437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Squalus_acanthias	0	22.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.27241379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00118969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.388768898	0	0.179936306	0	0.881185981	217.3236994	0	0	0	0	0	0	0.997332047	0	0.172505747	11.35	0.175889328	30.95555556	0.336387515	22.33707865	0.014186401	11.82514451	0.924718574	1.638636364	0.005674151	52.03735632	0.008956048	0	0	15.35054348	0	18.47540984	0.208762062	205.7921348	0	0.82	0.01336924	0	0	23.93323864	0	238.2359551
Tautogolabrus_adspersus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.502994012	0.170882353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.509090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09394853	0	0	10.42349727	0	0.054073034	0	0	0	0	0	0	0	0
Triglops_murrayi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179069767	0	0.009943182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042275281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06488764	0	0	0	0	0	0	0.003255237	0
Urophycis_chuss	0	0	0	0	0.447217153	4.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.505	0.20201564	1.293055556	0.467673349	0	0.185448623	0.04921875	0.003523727	0	0	2.411111111	0	0.957352941	0	1.225	0	0	0	0.754558824	0	0	0	0	0	0	0	0	0	1.485465116	0	0	0	1.476878613	0.000449802	1.577034884	0	0.030172414	0	3.509943182	0	1.94	0	2.14	0	0.268333333	0	0	0	0.428901734	0.003283302	0.725852273	0	0	0	10.62	0	0	0.059214757	0	0	0	0.176875087	0.432	0.497682558	1.066091954	0	0	0	0
Urophycis_tenuis	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	3.882183908	0	4.144736842	0	0	0	1.005747126	0.072065822	0	0	0	0	0	0	0	0	0	0	7.4125	0	0	0	0	0	0	0	9.352777778	0	0	0.084678411	3.788235294	0	1.378611111	0	0	0	0.254264706	0	0	0	0	0	0.232166667	0	0	0	0	0	0	0	15.11271676	0	3.184593023	0	0.752298851	0.016682646	0.924715909	0	34.59	0	15.3	0	14.71944444	0	11.06039326	0	9.033236994	0	0	0	12.29022989	0	1.494	0	0	0	0	0.042850962	0.360814607	0.056546611	0	0	0	0	0	0	0.963483146
Zoarces_americanus	0	1.222	0	0	0	0.061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0.084411765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.087422244	2.891304348	0.086335901	0	0	0.656741573	0	0	0	0	0	0	0	0
