Site_trawling	bioclass	coarse_class	strata_class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51
EDNA20_474143	LaurentianChannel_ShelfBreak	LaurentianChannel_ShelfBreak	LaurentianChannel_ShelfBreak	0.171576168	-0.247623093	-0.112950311	-0.083054087	0.198161699	-0.111687452	-0.000313498	-0.09161863	-0.148688507	0.022728098	0.135732398	-0.154975157	0.019020421	-0.008632015	0.269362516	-0.106645586	-0.069605974	-0.110067646	0.09320176	0.045109677	-0.007265234	-0.020982172	-0.123135589	0.014828679	0.038835809	0.019337579	0.014036686	-0.039562283	0.105357731	-0.002638891	0.038194519	-0.017617395	0.017664229	-0.052123791	-0.047915957	-0.095887649	0.002276934	-0.041189547	0.030324391	0.019757111	0.011272442	0.056820605	-0.014899583	0.0022898	-0.000325775	0.028448172	-0.023524499	0.009801876	-0.000668681	0.006615498	0.005349518
EDNA20_474148	ESS	East	Shelf_deep	0.22701954	-0.287095792	-0.00797008	0.009444135	0.153377181	-0.027922665	0.076549894	-0.082022272	-0.068446865	-0.057914498	0.086577083	-0.06407362	-0.050294394	0.214823719	0.029317091	-0.068866384	-0.03829951	-0.019119588	0.079243212	0.150942534	0.063219801	0.003361699	0.044904288	-0.000187484	0.012534779	-0.027507642	-0.152902646	-0.013700544	-0.0002139	0.011182674	0.037154698	0.031083863	0.046442174	0.083533399	0.086749332	0.051710924	-0.035273941	0.057628937	-0.085777831	-0.048425333	0.033554402	-0.078219221	-0.006666545	-0.007182124	0.028217634	0.002022742	0.022447035	-0.008168565	-0.002883017	0.00514648	-0.002463328
EDNA20_474160	LaurentianChannel_ShelfBreak	LaurentianChannel_ShelfBreak	LaurentianChannel_ShelfBreak	0.193126727	-0.285784873	-0.086092917	-0.134890739	0.204179202	-0.095959593	-0.008141346	0.015826146	-0.292402965	-0.029535595	0.089637967	-0.027346297	0.078552504	-0.229978437	0.005993692	0.030488966	0.042866262	0.209634235	0.086001347	-0.03701794	-0.11015036	-0.098599392	0.069477295	-0.035490004	-0.039780292	0.017760934	0.107750445	0.053176747	0.020001463	-0.071407444	-0.043718646	-0.006941669	-0.041435568	0.065291351	0.0104636	0.074484757	0.00090407	-0.004954002	-0.021318508	0.006405566	-0.022509441	-0.028151009	0.011522268	-0.000885531	-0.02042621	-0.020017334	0.006856589	-0.005581988	-0.005258525	-0.002752281	0.000319637
EDNA20_474175	ESS	East	Shelf_deep	0.204615522	-0.308784667	0.072509122	-0.032317382	0.181113591	-0.017180568	0.13040453	-0.072836015	0.097502211	0.028022154	-0.001994891	0.14070503	-0.085287199	0.079255836	0.065559665	-0.069163443	-0.074818537	-0.040433536	-0.067216881	-0.029612002	0.083723572	-0.062174554	0.032683496	0.045415021	-0.035742726	0.011248941	0.037221684	0.033586896	-0.129849658	0.039262658	0.082960547	-0.05464804	-0.01995706	-0.024654678	-0.090154153	0.016717326	0.056688633	-0.012239215	-0.038115557	0.076384657	-0.066411985	0.007727718	0.020807018	-0.001339603	-0.007952067	-0.037741979	0.026878124	0.029754445	0.016932191	-0.028307191	-0.00564386
EDNA20_474179	LaurentianChannel_ShelfBreak	LaurentianChannel_ShelfBreak	LaurentianChannel_ShelfBreak	0.212420328	-0.148379173	-8.99E-05	0.047248789	0.011051433	-0.194593826	0.164726781	-0.100365729	0.011418391	-0.203079114	-0.07396281	-0.134625911	-0.03175404	-0.009217642	-0.137973867	0.232384617	-0.090131728	-0.084324176	-0.064837945	0.04842922	0.103149165	0.068012691	-0.023366515	-0.012517004	0.00227281	0.055476074	0.056631495	0.117762056	-0.033200107	-0.019746202	-0.080603643	-0.068895552	-0.031360922	0.025323338	0.061884389	-0.070547911	0.042396476	-0.044832545	0.021052692	0.027706257	0.023594943	-0.017538408	-0.01363425	-0.027743677	-0.027069314	0.024317331	0.017508079	-0.005707321	-0.012538302	0.006380433	0.001667994
EDNA20_474198	ESS_Banks	East	Shelf_bank	0.411081942	0.06843956	-0.179183159	0.031503113	-0.108179907	-0.115199151	-0.0128271	-0.123226737	0.078375597	-0.05431273	-0.017475143	0.044688662	-0.000316222	-0.099976301	-0.037657244	-0.089591003	-0.075789829	-0.058910723	-0.175426779	-0.046569277	-0.140914536	-0.029199098	0.047985251	0.029387166	0.001662896	0.078480857	-0.003593787	0.07914781	0.00274673	-0.098394063	0.03422534	0.009065054	0.013481243	-0.066819428	-0.006183484	0.023698104	-0.044094548	0.067432249	-0.044980086	0.002838511	0.025766228	0.038339477	-0.033851161	-0.022703236	0.082648197	0.011556411	-0.011860583	-0.02279783	0.02230661	0.018441299	-0.002117697
EDNA20_474207	ESS_Banks	East	Shelf_bank	0.261716188	0.119913353	-0.078213729	0.176437438	0.088827084	0.050258681	-0.058775166	0.121383793	-0.282006101	-0.040583018	-0.169371762	-0.075899472	-0.040284988	-0.122423732	-0.15539093	-0.160080886	0.132257084	-0.058273729	-0.063262932	0.001548499	0.135247218	-0.028110133	-0.083399734	0.133923563	0.080871446	0.080151846	-0.054583287	-0.108670831	-0.05598013	-0.001764754	-0.023531877	0.001202621	-0.045386932	0.018744289	-0.005796115	-0.005382755	-0.024444959	0.013618289	0.004830031	0.00901198	-0.03022372	-0.001428449	-0.036094694	0.034500119	-0.015787955	-0.014117778	0.007641662	-0.000495467	0.006439605	0.00370955	-0.001510865
EDNA20_474217	ESS_Banks	East	Shelf_bank	-0.127200754	-0.05235604	-0.079003633	-0.039629201	-0.002486807	-0.125353344	0.235783289	0.073361935	0.274064437	-0.008376259	-0.033422824	-0.158450205	-0.062111702	0.061570377	-0.042461746	0.012722393	0.064344279	0.069798099	0.047464125	-0.067704686	-0.066514761	-0.08909844	-0.072236909	0.04424211	0.062750109	0.016122439	-0.059540539	-0.066909911	-0.006797563	-0.022802924	0.018590141	-0.067282513	-0.065331077	0.078234994	-0.026128432	-0.014937636	-0.071215582	-0.036460499	0.019748846	-0.031521321	-0.038834746	0.034400794	0.040438894	-0.028372494	0.022051904	-0.009729214	-0.037908626	-0.018044716	-0.042818418	0.01135688	-0.006796074
EDNA20_474237	ESS_Banks	East	Shelf_bank	0.107268124	0.073532478	0.147215201	0.187932027	-0.096714832	-0.137804452	0.131989395	-0.095223797	-0.046222912	-0.003463143	0.063017495	-0.010183696	0.006279138	0.046985596	-0.001085198	-0.139095205	0.129431765	0.044703165	0.008741178	-0.137630367	0.042617247	0.018467351	0.115378341	0.036823857	-0.21020487	0.007079944	0.005332432	-0.032708055	0.007683634	0.02797676	0.010072995	-0.026346267	0.112602042	0.000177925	0.050487555	-0.000521639	-0.004781035	0.005591383	0.040715145	0.041287122	0.013942231	0.013798832	-0.017006687	0.00502775	-0.042847638	0.066361107	-0.038576985	-0.011401276	-0.017786885	-0.00929928	-0.005044865
EDNA20_478618	WSS_OuterBoF	West	Shelf_deep	-0.095584145	-0.165253603	0.233349982	0.155190826	0.036733129	-0.046556227	-0.138112095	0.044839791	0.023690617	-0.124058173	-0.048007916	0.01974126	0.020485815	-0.039659647	-0.070573331	0.02088329	0.029947004	0.086828923	0.059194507	-0.000838014	-0.0483834	0.066086406	-0.042065719	0.106622557	0.07417775	-0.046333696	-0.001463899	0.001747384	0.087444753	0.000923392	-0.075432245	-0.034867747	0.114852299	-0.056571789	-0.077170391	-0.073455567	0.024183216	0.001407497	-0.034404705	0.017164402	0.042133127	-0.062892097	-0.015567263	-0.027620856	0.046185457	-0.03986085	-0.027668986	-0.000462986	-0.006884188	-0.040605311	-0.004782731
