"latin","CODE","SPEC","COMM","NMFS","APHIAID","APHIAID_SRC","TSN","TSN_DEFINITIVE","kingdom","subkingdom","infrakingdom","phylum","subphylum","infraphylum","superclass","class","superorder","order","family","subfamily","genus","species","species_id","vert"
"ASTROPECTEN AMERICANUS",6136,"ASTROPECTEN AMERICANUS","ASTROPECTEN AMERICANUS",NA,158490,NA,156902,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Valvatacea","Paxillosida","Astropectinidae",NA,"Astropecten","Astropecten americanus","Astropecten americanus",FALSE
"OPHIUROIDEA S.C.",6200,"OPHIUROIDEA S.C.","BRITTLE STAR",NA,123084,"scientific",157325,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Ophiuroidea",NA,NA,NA,NA,NA,NA,"Ophiuroidea",FALSE
"OPHIACANTHA ABYSSICOLA",6201,"OPHIACANTHA ABYSSICOLA","OPHIACANTHA ABYSSICOLA",NA,124973,"scientific",157555,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Ophiuroidea",NA,"Ophiurida","Ophiacanthidae",NA,"Ophiacantha","Ophiacantha abyssicola","Ophiacantha abyssicola",FALSE
"OPHIACANTHA BIDENTATA",6202,"OPHIACANTHA BIDENTATA","OPHIACANTHA BIDENTATA",NA,124978,NA,157544,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Ophiuroidea",NA,"Ophiurida","Ophiacanthidae",NA,"Ophiacantha","Ophiacantha bidentata","Ophiacantha bidentata",FALSE
"OPHIOPHOLIS ACULEATA",6211,"OPHIOPHOLIS ACULEATA","DAISY",NA,125125,"scientific",157617,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Ophiuroidea",NA,"Ophiurida","Ophiactidae",NA,"Ophiopholis","Ophiopholis aculeata","Ophiopholis aculeata",FALSE
"OPHIURA SARSI",6213,"OPHIURA SARSI","OPHIURA SARSI",NA,245736,"scientific",157424,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Ophiuroidea",NA,"Ophiurida","Ophiuridae",NA,"Ophiura","Ophiura sarsi","Ophiura sarsi",FALSE
"GORGONOCEPHALIDAE,ASTERONYCHIDAE F.",6300,"GORGONOCEPHALIDAE,ASTERONYCHIDAE F.","BASKET STARS",NA,123203,"common",157356,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Ophiuroidea",NA,"Phrynophiurida","Gorgonocephalidae",NA,NA,NA,"Gorgonocephalidae",FALSE
"STRONGYLOCENTROTUS SP.",6400,"STRONGYLOCENTROTUS SP.","SEA URCHINS",NA,123390,"scientific",157968,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Echinozoa",NA,NA,"Echinoidea","Echinacea","Echinoida","Strongylocentrotidae",NA,"Strongylocentrotus",NA,"Strongylocentrotus",FALSE
"STRONGYLOCENTROTUS DROEBACHIENSIS",6411,"STRONGYLOCENTROTUS DROEBACHIENSIS","SEA URCHIN (GREEN)",NA,124321,"scientific",157969,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Echinozoa",NA,NA,"Echinoidea","Echinacea","Echinoida","Strongylocentrotidae",NA,"Strongylocentrotus","Strongylocentrotus droebachiensis","Strongylocentrotus droebachiensis",FALSE
"BRISASTER FRAGILIS",6413,"BRISASTER FRAGILIS","HEART URCHIN",NA,124404,"scientific",158080,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Echinozoa",NA,NA,"Echinoidea","Atelostomata","Spatangoida","Schizasteridae",NA,"Brisaster","Brisaster fragilis","Brisaster fragilis",FALSE
"CLYPEASTEROIDA O.",6500,"CLYPEASTEROIDA O.","SAND DOLLARS",NA,123100,"scientific",157984,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Echinozoa",NA,NA,"Echinoidea","Gnathostomata","Clypeasteroida",NA,NA,NA,NA,"Clypeasteroida",FALSE
"CUCUMARIA FRONDOSA",6611,"CUCUMARIA FRONDOSA","SEA CUCUMBER (COMMON)",NA,124612,"scientific",158195,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Echinozoa",NA,NA,"Holothuroidea",NA,"Dendrochirotida","Cucumariidae",NA,"Cucumaria","Cucumaria frondosa","Cucumaria frondosa",FALSE
"PSOLUS PHANTAPUS",6715,"PSOLUS PHANTAPUS","PSOLUS PHANTAPUS",NA,124710,"scientific",158156,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Echinozoa",NA,NA,"Holothuroidea",NA,"Dendrochirotida","Psolidae",NA,"Psolus","Psolus phantapus","Psolus phantapus",FALSE
"CRINOIDEA C.",6900,"CRINOIDEA C.","SEA LILIES",NA,123081,"scientific",158541,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Crinozoa",NA,NA,"Crinoidea",NA,NA,NA,NA,NA,NA,"Crinoidea",FALSE
"CTENOPHORA P.",8100,"CTENOPHORA P.","COMB JELLIES",NA,1248,"scientific",53856,TRUE,"Animalia","Radiata",NA,"Ctenophora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenophora",FALSE
"ACTINIARIA O.",8208,"ACTINIARIA O.","ANTHOZOA SEA ANEMONES",NA,1360,"scientific",52485,TRUE,"Animalia","Radiata",NA,"Cnidaria","Anthozoa",NA,NA,"Anthozoa",NA,"Actiniaria",NA,NA,NA,NA,"Actiniaria",FALSE
"ACTINIIDAE F. ",8209,"ACTINIIDAE F. ","ACTINIIDAE F. ",NA,100653,NA,52541,TRUE,"Animalia","Radiata",NA,"Cnidaria","Anthozoa",NA,NA,"Anthozoa",NA,"Actiniaria","Actiniidae",NA,NA,NA,"Actiniidae",FALSE
"ACTINOSTOLA SPP. ",8216,"	
ACTINOSTOLA SPP. ","	
ACTINOSTOLA SPP. ",NA,100709,NA,52637,TRUE,"Animalia","Radiata",NA,"Cnidaria","Anthozoa",NA,NA,"Anthozoa",NA,"Actiniaria","Actinostolidae",NA,"Actinostola",NA,"Actinostola",FALSE
"ANTHOZOA C.",8300,"ANTHOZOA C.","SEA ANEMONE",NA,1292,"scientific",51938,TRUE,"Animalia","Radiata",NA,"Cnidaria","Anthozoa",NA,NA,"Anthozoa",NA,NA,NA,NA,NA,NA,"Anthozoa",FALSE
"STOMPHIA COCCINEA",8313,"STOMPHIA COCCINEA","STOMPHIA COCCINEA",NA,100854,"scientific",52630,TRUE,"Animalia","Radiata",NA,"Cnidaria","Anthozoa",NA,NA,"Anthozoa",NA,"Actiniaria","Actinostolidae",NA,"Stomphia","Stomphia coccinea","Stomphia coccinea",FALSE
"HORMATHIA SP.",8316,"HORMATHIA SP.","HORMATHIA SP.",NA,100757,"scientific",52657,TRUE,"Animalia","Radiata",NA,"Cnidaria","Anthozoa",NA,NA,"Anthozoa",NA,"Actiniaria","Hormathiidae",NA,"Hormathia",NA,"Hormathia",FALSE
"BOLOCERA SP.",8317,"BOLOCERA SP.","BOLOCERA SP.",NA,100698,"scientific",52579,TRUE,"Animalia","Radiata",NA,"Cnidaria","Anthozoa",NA,NA,"Anthozoa",NA,"Actiniaria","Actiniidae",NA,"Bolocera",NA,"Bolocera",FALSE
"PENNATULACEA",8318,"PENNATULACEA","SEA PEN",NA,1367,"scientific",52348,TRUE,"Animalia","Radiata",NA,"Cnidaria","Anthozoa",NA,NA,"Anthozoa",NA,"Pennatulacea",NA,NA,NA,NA,"Pennatulacea",FALSE
"GERSEMIA RUBIFORMIS",8324,"GERSEMIA RUBIFORMIS","SEA CAULIFLOWER, STRAWBERRIES",NA,156103,"scientific",52037,TRUE,"Animalia","Radiata",NA,"Cnidaria","Anthozoa",NA,NA,"Anthozoa",NA,"Alcyonacea","Alcyoniidae",NA,"Gersemia","Gersemia rubiformis","Gersemia rubiformis",FALSE
"PSEUDARCHASTER PARELII",8346,"PSEUDARCHASTER PARELII","PSEUDARCHASTER PARELII",NA,124085,"scientific",157017,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Valvatacea","Paxillosida","Pseudarchasteridae",NA,"Pseudarchaster","Pseudarchaster parelii","Pseudarchaster parelii",FALSE
"PSILASTER ANDROMEDA",8347,"PSILASTER ANDROMEDA","PSILASTER ANDROMEDA",NA,123908,"scientific",156898,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Valvatacea","Paxillosida","Astropectinidae",NA,"Psilaster","Psilaster andromeda","Psilaster andromeda",FALSE
"LOPHASTER FURCIFER",8349,"LOPHASTER FURCIFER","LOPHASTER FURCIFER",NA,124156,"scientific",157071,TRUE,"Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Valvatacea","Valvatida","Solasteridae",NA,"Lophaster","Lophaster furcifer","Lophaster furcifer",FALSE
"PENNATULA ACULEATA",8367,"PENNATULA ACULEATA","PENNATULA ACULEATA",NA,128515,"scientific",52418,TRUE,"Animalia","Radiata",NA,"Cnidaria","Anthozoa",NA,NA,"Anthozoa",NA,"Pennatulacea","Pennatulidae",NA,"Pennatula","Pennatula aculeata","Pennatula aculeata",FALSE
"EPIZOANTHUS SPP.",8382,"EPIZOANTHUS SPP.","EPIZOANTHUS SPP.",NA,100790,"scientific",52443,TRUE,"Animalia","Radiata",NA,"Cnidaria","Anthozoa",NA,NA,"Anthozoa",NA,"Zoantharia","Epizoanthidae",NA,"Epizoanthus",NA,"Epizoanthus",FALSE
"NEPHTHEIDAE F.",8386,"NEPHTHEIDAE F.","NEPHTHEIDAE F.",NA,146762,"scientific",52034,TRUE,"Animalia","Radiata",NA,"Cnidaria","Anthozoa",NA,NA,"Anthozoa",NA,"Alcyonacea","Nephtheidae",NA,NA,NA,"Nephtheidae",FALSE
"HYDROZOA C.",8400,"HYDROZOA C.","HYDROZOA C.",NA,1337,"scientific",48739,TRUE,"Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Hydrozoa",NA,NA,NA,NA,NA,NA,"Hydrozoa",FALSE
"SCYPHOZOA C.",8500,"SCYPHOZOA C.","JELLYFISHES",NA,135220,"scientific",51483,TRUE,"Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Scyphozoa",NA,NA,NA,NA,NA,NA,"Scyphozoa",FALSE
"CYANEA CAPILLATA",8511,"CYANEA CAPILLATA","PINK JELLYFISH",NA,135301,"scientific",51671,TRUE,"Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Scyphozoa",NA,"Semaeostomeae","Cyaneidae",NA,"Cyanea","Cyanea capillata","Cyanea capillata",FALSE
"PORIFERA P.",8600,"PORIFERA P.","SPONGES",NA,558,"scientific",46861,TRUE,"Animalia","Radiata",NA,"Porifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Porifera",FALSE
"VAZELLA POURTALESI",8601,"VAZELLA POURTALESI","RUSSIAN HATS",NA,172121,NA,659662,FALSE,"Animalia",NA,NA,"Porifera",NA,NA,NA,"Hexactinellida",NA,"Lyssacinosida","Rossellidae","Rossellinae","Vazella","Vazella pourtalesii","Vazella pourtalesii",FALSE
"POLYMASTIA F.",8605,"POLYMASTIA F.","POLYMASTIA F.",NA,132046,NA,48506,TRUE,"Animalia","Radiata",NA,"Porifera",NA,NA,NA,"Demospongiae",NA,"Hadromerida","Polymastiidae",NA,"Polymastia",NA,"Polymastia",FALSE
"POLYMASTIA ANDRICA",8609,"POLYMASTIA ANDRICA","POLYMASTIA ANDRICA",NA,157415,NA,48507,TRUE,"Animalia","Radiata",NA,"Porifera",NA,NA,NA,"Demospongiae",NA,"Hadromerida","Polymastiidae",NA,"Polymastia","Polymastia andrica","Polymastia andrica",FALSE
"SUBERITES FICUS",8613,"SUBERITES FICUS","FIG SPONGE",NA,134285,"scientific",48488,TRUE,"Animalia","Radiata",NA,"Porifera",NA,NA,NA,"Demospongiae",NA,"Hadromerida","Suberitidae",NA,"Suberites","Suberites ficus","Suberites ficus",FALSE
"HALICLONA OCULATA",8621,"HALICLONA OCULATA","EYED SPONGE",NA,236327,NA,47779,TRUE,"Animalia","Radiata",NA,"Porifera",NA,NA,NA,"Demospongiae",NA,"Haplosclerida","Chalinidae",NA,"Haliclona","Haliclona oculata","Haliclona oculata",FALSE
