"latin","CODE","SPEC","COMM","NMFS","APHIAID","APHIAID_SRC","TSN","TSN_DEFINITIVE","kingdom","subkingdom","infrakingdom","phylum","subphylum","infraphylum","superclass","class","superorder","order","family","subfamily","genus","species","species_id","vert"
"HIPPOGLOSSINA OBLONGA",142,"HIPPOGLOSSINA OBLONGA","FOURSPOT FLOUNDER",104,158833,"common",NA,NA,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Pleuronectiformes","Paralichthyidae",NA,"Hippoglossina","Hippoglossina oblonga","Hippoglossina oblonga",TRUE
"SCOPHTHALMUS AQUOSUS",143,"SCOPHTHALMUS AQUOSUS","BRILL/WINDOWPANE",108,158907,"scientific",172746,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Pleuronectiformes","Scophthalmidae",NA,"Scophthalmus","Scophthalmus aquosus","Scophthalmus aquosus",TRUE
"MYCTOPHIDAE",150,"MYCTOPHIDAE","LANTERNFISH (NS)",220,125498,"scientific",162575,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Scopelomorpha","Myctophiformes","Myctophidae",NA,NA,NA,"Myctophidae",TRUE
"CHLOROPHTHALMUS AGASSIZI",156,"CHLOROPHTHALMUS AGASSIZI","SHORT-NOSE GREENEYE",232,126336,"scientific",162430,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Cyclosquamata","Aulopiformes","Chlorophthalmidae",NA,"Chlorophthalmus","Chlorophthalmus agassizi","Chlorophthalmus agassizi",TRUE
"BENTHOSEMA GLACIALE",157,"BENTHOSEMA GLACIALE","GLACIER LANTERNFISH",51,126580,"scientific",162680,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Scopelomorpha","Myctophiformes","Myctophidae","Myctophinae","Benthosema","Benthosema glaciale","Benthosema glaciale",TRUE
"MAUROLICUS MUELLERI",158,"MAUROLICUS MUELLERI","MUELLER'S PEARLSIDES",229,127312,"scientific",162187,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Stenopterygii","Stomiiformes","Sternoptychidae","Maurolicinae","Maurolicus","Maurolicus muelleri","Maurolicus muelleri",TRUE
"STOMIAS BOA",159,"STOMIAS BOA","BOA DRAGONFISH",228,127374,"scientific",162292,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Stenopterygii","Stomiiformes","Stomiidae","Stomiinae","Stomias","Stomias boa","Stomias boa",TRUE
"ARGENTINA SILUS",160,"ARGENTINA SILUS","ARGENTINE(ATLANTIC)",46,126715,"scientific",162064,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Protacanthopterygii","Osmeriformes","Argentinidae",NA,"Argentina","Argentina silus","Argentina silus",TRUE
"NOTOSCOPELUS ELONGATUS KROYERI",182,"NOTOSCOPELUS ELONGATUS KROYERI","LANTERNFISH KROYER'S",NA,272728,"scientific",623879,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Scopelomorpha","Myctophiformes","Myctophidae","Lampanyctinae","Notoscopelus","Notoscopelus elongatus","Notoscopelus elongatus",TRUE
"DIPTURUS LAEVIS",200,"DIPTURUS LAEVIS","BARNDOOR SKATE",22,158548,"scientific",564139,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Rajiformes","Rajidae",NA,"Dipturus","Dipturus laevis","Dipturus laevis",TRUE
"AMBLYRAJA RADIATA",201,"AMBLYRAJA RADIATA","THORNY SKATE",28,105865,"scientific",564149,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Rajiformes","Rajidae",NA,"Amblyraja","Amblyraja radiata","Amblyraja radiata",TRUE
"MALACORAJA SENTA",202,"MALACORAJA SENTA","SMOOTH SKATE",27,158554,"scientific",564151,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Rajiformes","Rajidae",NA,"Malacoraja","Malacoraja senta","Malacoraja senta",TRUE
"LEUCORAJA ERINACEA",203,"LEUCORAJA ERINACEA","LITTLE SKATE",26,158551,"scientific",564130,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Rajiformes","Rajidae",NA,"Leucoraja","Leucoraja erinacea","Leucoraja erinacea",TRUE
"LEUCORAJA OCELLATA",204,"LEUCORAJA OCELLATA","WINTER SKATE",23,158553,"scientific",564145,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Rajiformes","Rajidae",NA,"Leucoraja","Leucoraja ocellata","Leucoraja ocellata",TRUE
"SQUALUS ACANTHIAS",220,"SQUALUS ACANTHIAS","SPINY DOGFISH",15,105923,"scientific",160617,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Squaliformes","Squalidae",NA,"Squalus","Squalus acanthias","Squalus acanthias",TRUE
"CENTROSCYLLIUM FABRICII",221,"CENTROSCYLLIUM FABRICII","BLACK DOGFISH",7,105906,"scientific",160703,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Squaliformes","Etmopteridae",NA,"Centroscyllium","Centroscyllium fabricii","Centroscyllium fabricii",TRUE
"MYXINE GLUTINOSA",241,"MYXINE GLUTINOSA","NORTHERN HAGFISH",1,101170,"scientific",159772,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Agnatha",NA,"Myxini",NA,"Myxiniformes","Myxinidae","Myxininae","Myxine","Myxine glutinosa","Myxine glutinosa",TRUE
"MYOXOCEPHALUS OCTODECEMSPINOSUS",300,"MYOXOCEPHALUS OCTODECEMSPINOSUS","LONGHORN SCULPIN",163,159520,"scientific",167320,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Cottidae",NA,"Myoxocephalus","Myoxocephalus octodecemspinosus","Myoxocephalus octodecemspinosus",TRUE
"MYOXOCEPHALUS AENAEUS",303,"MYOXOCEPHALUS AENAEUS","GRUBBY OR LITTLE SCULPIN",166,159519,"scientific",167321,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Cottidae",NA,"Myoxocephalus","Myoxocephalus aenaeus","Myoxocephalus aenaeus",TRUE
"TRIGLOPS MURRAYI",304,"TRIGLOPS MURRAYI","MAILED SCULPIN",161,127205,"scientific",167375,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Cottidae",NA,"Triglops","Triglops murrayi","Triglops murrayi",TRUE
"HEMITRIPTERUS AMERICANUS",320,"HEMITRIPTERUS AMERICANUS","SEA RAVEN",164,159518,"scientific",167289,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Hemitripteridae",NA,"Hemitripterus","Hemitripterus americanus","Hemitripterus americanus",TRUE
"ASPIDOPHOROIDES MONOPTERYGIUS",340,"ASPIDOPHOROIDES MONOPTERYGIUS","ALLIGATORFISH",165,159459,"scientific",167439,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Agonidae",NA,"Aspidophoroides","Aspidophoroides monopterygius","Aspidophoroides monopterygius",TRUE
"LEPTAGONUS DECAGONUS",350,"LEPTAGONUS DECAGONUS","ATLANTIC SEA POACHER",NA,127191,"scientific",167478,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Agonidae",NA,"Leptagonus","Leptagonus decagonus","Leptagonus decagonus",TRUE
"LOPHIUS AMERICANUS",400,"LOPHIUS AMERICANUS","MONKFISH,GOOSEFISH,ANGLER",197,159184,"scientific",164499,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Lophiiformes","Lophiidae",NA,"Lophius","Lophius americanus","Lophius americanus",TRUE
"NEZUMIA BAIRDII",410,"NEZUMIA BAIRDII","MARLIN-SPIKE GRENADIER",91,183289,"scientific",165395,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Macrouridae","Macrourinae","Nezumia","Nezumia bairdii","Nezumia bairdii",TRUE
"PARALIPARIS COPEI",511,"PARALIPARIS COPEI","BLACKSNOUT SEASNAIL",NA,159530,"scientific",167605,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Liparidae",NA,"Paraliparis","Paraliparis copei","Paraliparis copei",TRUE
"LIPARIS GIBBUS",512,"LIPARIS GIBBUS","SEASNAIL,DUSKY",NA,159526,"scientific",167561,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Liparidae",NA,"Liparis","Liparis gibbus","Liparis gibbus",TRUE
"LYCENCHELYS VERRILLI",603,"LYCENCHELYS VERRILLI","WOLF EELPOUT",190,402541,"scientific",631024,TRUE,"Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Zoarcidae",NA,"Lycenchelys","Lycenchelys verrillii","Lycenchelys verrillii",TRUE
