"call","class","family","genus","gigaclass","infraclass","infrakingdom","infraorder","infraphylum","kingdom","megaclass","order","parvorder","parvphylum","phylum","section","species","subclass","subfamily","subkingdom","suborder","subphylum","subsection","subterclass","superclass","superfamily","superorder","tribe","db","CO1","m18s","m12s","m16s"
"Stenella coeruleoalba","Mammalia","Delphinidae","Stenella",NA,NA,NA,"Cetacea","Gnathostomata","Animalia","Tetrapoda","Cetartiodactyla",NA,NA,"Chordata",NA,"Stenella coeruleoalba","Theria",NA,NA,"Cetancodonta","Vertebrata",NA,NA,NA,"Odontoceti",NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Stephanasterias albula","Asteroidea","Asteriidae","Stephanasterias",NA,NA,NA,NA,NA,"Animalia",NA,"Forcipulatida",NA,NA,"Echinodermata",NA,"Stephanasterias albula",NA,NA,NA,NA,"Asterozoa",NA,NA,NA,NA,"Forcipulatacea",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Stereobalanus canadensis","Enteropneusta","Harrimaniidae","Stereobalanus",NA,NA,NA,NA,NA,"Animalia",NA,"[unassigned] Enteropneusta",NA,NA,"Hemichordata",NA,"Stereobalanus canadensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Sternaspis scutata","Polychaeta","Sternaspidae","Sternaspis",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Terebellida",NA,NA,"Annelida",NA,"Sternaspis scutata","Sedentaria",NA,NA,"Cirratuliformia",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Streblosoma","Polychaeta","Terebellidae","Streblosoma",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Terebellida",NA,NA,"Annelida",NA,NA,"Sedentaria","Thelepodinae",NA,"Terebelliformia",NA,NA,NA,NA,NA,NA,NA,"worms",FALSE,TRUE,FALSE,FALSE
"Strongylocentrotus","Echinoidea","Strongylocentrotidae","Strongylocentrotus",NA,"Carinacea",NA,"Echinidea",NA,"Animalia",NA,"Camarodonta",NA,NA,"Echinodermata",NA,NA,"Euechinoidea",NA,NA,NA,"Echinozoa",NA,NA,NA,"Odontophora","Echinacea",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Strongylocentrotus droebachiensis","Echinoidea","Strongylocentrotidae","Strongylocentrotus",NA,"Carinacea",NA,"Echinidea",NA,"Animalia",NA,"Camarodonta",NA,NA,"Echinodermata",NA,"Strongylocentrotus droebachiensis","Euechinoidea",NA,NA,NA,"Echinozoa",NA,NA,NA,"Odontophora","Echinacea",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Suberites","Demospongiae","Suberitidae","Suberites",NA,NA,NA,NA,NA,"Animalia",NA,"Suberitida",NA,NA,"Porifera",NA,NA,"Heteroscleromorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Suberites ficus","Demospongiae","Suberitidae","Suberites",NA,NA,NA,NA,NA,"Animalia",NA,"Suberitida",NA,NA,"Porifera",NA,"Suberites ficus","Heteroscleromorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Tautogolabrus adspersus","Actinopteri","Labridae","Tautogolabrus","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Eupercaria incertae sedis",NA,"Osteichthyes","Chordata",NA,"Tautogolabrus adspersus","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,TRUE
"Tedania","Demospongiae","Tedaniidae","Tedania",NA,NA,NA,NA,NA,"Animalia",NA,"Poecilosclerida",NA,NA,"Porifera",NA,NA,"Heteroscleromorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Temora longicornis","Hexanauplia","Temoridae","Temora",NA,"Neocopepoda",NA,NA,NA,"Animalia",NA,"Calanoida",NA,NA,"Arthropoda",NA,"Temora longicornis","Copepoda",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Gymnoplea",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Terebellidae","Polychaeta","Terebellidae",NA,NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Terebellida",NA,NA,"Annelida",NA,NA,"Sedentaria",NA,NA,"Terebelliformia",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Terebellides","Polychaeta","Trichobranchidae","Terebellides",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Terebellida",NA,NA,"Annelida",NA,NA,"Sedentaria",NA,NA,"Terebelliformia",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Terebellides californica","Polychaeta","Trichobranchidae","Terebellides",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Terebellida",NA,NA,"Annelida",NA,"Terebellides californica","Sedentaria",NA,NA,"Terebelliformia",NA,NA,NA,NA,NA,NA,NA,"worms",FALSE,TRUE,FALSE,FALSE
"Terebellides gracilis","Polychaeta","Trichobranchidae","Terebellides",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Terebellida",NA,NA,"Annelida",NA,"Terebellides gracilis","Sedentaria",NA,NA,"Terebelliformia",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Terebellides stroemii","Polychaeta","Trichobranchidae","Terebellides",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Terebellida",NA,NA,"Annelida",NA,"Terebellides stroemii","Sedentaria",NA,NA,"Terebelliformia",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,TRUE,FALSE,FALSE
"Terebellides williamsae","Polychaeta","Trichobranchidae","Terebellides",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Terebellida",NA,NA,"Annelida",NA,"Terebellides williamsae","Sedentaria",NA,NA,"Terebelliformia",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Thalia democratica","Thaliacea","Salpidae","Thalia",NA,NA,NA,NA,NA,"Animalia",NA,"Salpida",NA,NA,"Chordata",NA,"Thalia democratica",NA,"Salpinae",NA,NA,"Tunicata",NA,NA,NA,NA,NA,NA,"worms",FALSE,TRUE,FALSE,FALSE
"Thelepus cincinnatus","Polychaeta","Terebellidae","Thelepus",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Terebellida",NA,NA,"Annelida",NA,"Thelepus cincinnatus","Sedentaria","Thelepodinae",NA,"Terebelliformia",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Thunnus","Actinopteri","Scombridae","Thunnus","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Scombriformes",NA,"Osteichthyes","Chordata",NA,NA,"Teleostei","Scombrinae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,FALSE,TRUE
"Thunnus thynnus","Actinopteri","Scombridae","Thunnus","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Scombriformes",NA,"Osteichthyes","Chordata",NA,"Thunnus thynnus","Teleostei","Scombrinae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,TRUE,FALSE
"Thysanoessa","Malacostraca","Euphausiidae","Thysanoessa",NA,NA,NA,NA,NA,"Animalia",NA,"Euphausiacea",NA,NA,"Arthropoda",NA,NA,"Eumalacostraca",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Eucarida",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Thysanoessa longicaudata","Malacostraca","Euphausiidae","Thysanoessa",NA,NA,NA,NA,NA,"Animalia",NA,"Euphausiacea",NA,NA,"Arthropoda",NA,"Thysanoessa longicaudata","Eumalacostraca",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Eucarida",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Thysanoessa raschii","Malacostraca","Euphausiidae","Thysanoessa",NA,NA,NA,NA,NA,"Animalia",NA,"Euphausiacea",NA,NA,"Arthropoda",NA,"Thysanoessa raschii","Eumalacostraca",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Eucarida",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Tiaropsis multicirrata","Hydrozoa","Tiaropsidae","Tiaropsis",NA,NA,NA,NA,NA,"Animalia",NA,"Leptothecata",NA,NA,"Cnidaria",NA,"Tiaropsis multicirrata","Hydroidolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
