"call","class","family","genus","gigaclass","infraclass","infrakingdom","infraorder","infraphylum","kingdom","megaclass","order","parvorder","parvphylum","phylum","section","species","subclass","subfamily","subkingdom","suborder","subphylum","subsection","subterclass","superclass","superfamily","superorder","tribe","db","CO1","m18s","m12s","m16s"
"Flustra foliacea","Gymnolaemata","Flustridae","Flustra",NA,NA,NA,NA,NA,"Animalia",NA,"Cheilostomatida",NA,NA,"Bryozoa",NA,"Flustra foliacea",NA,NA,NA,"Flustrina",NA,NA,NA,NA,"Flustroidea",NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Fulvia mutica","Bivalvia","Cardiidae","Fulvia",NA,"Heteroconchia",NA,NA,NA,"Animalia",NA,"Cardiida",NA,NA,"Mollusca",NA,"Fulvia mutica","Autobranchia","Cardiinae",NA,NA,NA,NA,"Euheterodonta",NA,"Cardioidea","Imparidentia",NA,"worms",FALSE,TRUE,FALSE,FALSE
"Gadidae","Actinopteri","Gadidae",NA,"Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Gadiformes",NA,"Osteichthyes","Chordata",NA,NA,"Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,FALSE
"Gadus","Actinopteri","Gadidae","Gadus","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Gadiformes",NA,"Osteichthyes","Chordata",NA,NA,"Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,TRUE
"Gadus morhua","Actinopteri","Gadidae","Gadus","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Gadiformes",NA,"Osteichthyes","Chordata",NA,"Gadus morhua","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,FALSE
"Galathowenia oculata","Polychaeta","Oweniidae","Galathowenia",NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"Annelida",NA,"Galathowenia oculata","Polychaeta incertae sedis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Gastrotricha",NA,NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"Gastrotricha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",FALSE,TRUE,FALSE,FALSE
"Gersemia rubiformis","Anthozoa","Nephtheidae","Gersemia",NA,NA,NA,NA,NA,"Animalia",NA,"Alcyonacea",NA,NA,"Cnidaria",NA,"Gersemia rubiformis","Octocorallia",NA,NA,"Alcyoniina",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Glycera capitata","Polychaeta","Glyceridae","Glycera",NA,NA,NA,NA,NA,"Animalia",NA,"Phyllodocida",NA,NA,"Annelida",NA,"Glycera capitata","Errantia",NA,NA,"Glyceriformia",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Glyptocephalus cynoglossus","Actinopteri","Pleuronectidae","Glyptocephalus","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Pleuronectiformes",NA,"Osteichthyes","Chordata",NA,"Glyptocephalus cynoglossus","Teleostei","Pleuronectinae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,TRUE,TRUE
"Gonactiniidae","Anthozoa","Gonactiniidae",NA,NA,NA,NA,NA,NA,"Animalia",NA,"Actiniaria",NA,NA,"Cnidaria",NA,NA,"Hexacorallia",NA,NA,"Enthemonae",NA,NA,NA,NA,"Metridioidea",NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Goniada maculata","Polychaeta","Goniadidae","Goniada",NA,NA,NA,NA,NA,"Animalia",NA,"Phyllodocida",NA,NA,"Annelida",NA,"Goniada maculata","Errantia",NA,NA,"Glyceriformia",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Gonostoma elongatum","Actinopteri","Gonostomatidae","Gonostoma","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Stomiiformes",NA,"Osteichthyes","Chordata",NA,"Gonostoma elongatum","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,FALSE,TRUE
"Halichondria coerulea","Demospongiae","Halichondriidae","Halichondria",NA,NA,NA,NA,NA,"Animalia",NA,"Suberitida",NA,NA,"Porifera",NA,"Halichondria coerulea","Heteroscleromorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Halichondria panicea","Demospongiae","Halichondriidae","Halichondria",NA,NA,NA,NA,NA,"Animalia",NA,"Suberitida",NA,NA,"Porifera",NA,"Halichondria panicea","Heteroscleromorpha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Halocynthia roretzi","Ascidiacea","Pyuridae","Halocynthia",NA,NA,NA,NA,NA,"Animalia",NA,"Stolidobranchia",NA,NA,"Chordata",NA,"Halocynthia roretzi",NA,NA,NA,NA,"Tunicata",NA,NA,NA,NA,NA,NA,"worms",FALSE,TRUE,FALSE,FALSE
"Halocyprida","Ostracoda",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Halocyprida",NA,NA,"Arthropoda",NA,NA,"Myodocopa",NA,NA,NA,"Crustacea",NA,NA,"Oligostraca",NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Halopsis ocellata","Hydrozoa","Mitrocomidae","Halopsis",NA,NA,NA,NA,NA,"Animalia",NA,"Leptothecata",NA,NA,"Cnidaria",NA,"Halopsis ocellata","Hydroidolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Helicolenus dactylopterus","Actinopteri","Sebastidae","Helicolenus","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Helicolenus dactylopterus","Teleostei","Sebastinae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,TRUE
"Henricia","Asteroidea","Echinasteridae","Henricia",NA,NA,NA,NA,NA,"Animalia",NA,"Spinulosida",NA,NA,"Echinodermata",NA,NA,NA,NA,NA,NA,"Asterozoa",NA,NA,NA,NA,"Spinulosacea",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Heteromastus filiformis","Polychaeta","Capitellidae","Heteromastus",NA,"Scolecida",NA,NA,NA,"Animalia",NA,NA,NA,NA,"Annelida",NA,"Heteromastus filiformis","Sedentaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",FALSE,TRUE,FALSE,FALSE
"Hippoglossina oblonga","Actinopteri","Paralichthyidae","Hippoglossina","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Pleuronectiformes",NA,"Osteichthyes","Chordata",NA,"Hippoglossina oblonga","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,FALSE
"Hippoglossoides","Actinopteri","Pleuronectidae","Hippoglossoides","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Pleuronectiformes",NA,"Osteichthyes","Chordata",NA,NA,"Teleostei","Pleuronectinae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,TRUE
"Hippoglossoides platessoides","Actinopteri","Pleuronectidae","Hippoglossoides","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Pleuronectiformes",NA,"Osteichthyes","Chordata",NA,"Hippoglossoides platessoides","Teleostei","Pleuronectinae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Hippoglossus","Actinopteri","Pleuronectidae","Hippoglossus","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Pleuronectiformes",NA,"Osteichthyes","Chordata",NA,NA,"Teleostei","Pleuronectinae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,FALSE
"Hippoglossus hippoglossus","Actinopteri","Pleuronectidae","Hippoglossus","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Pleuronectiformes",NA,"Osteichthyes","Chordata",NA,"Hippoglossus hippoglossus","Teleostei","Pleuronectinae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,TRUE
"Hydractinia","Hydrozoa","Hydractiniidae","Hydractinia",NA,NA,NA,NA,NA,"Animalia",NA,"Anthoathecata",NA,NA,"Cnidaria",NA,NA,"Hydroidolina",NA,NA,"Filifera",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Hydrozoa","Hydrozoa",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,TRUE,FALSE,FALSE
"Hymeraphia stellifera","Demospongiae","Raspailiidae","Hymeraphia",NA,NA,NA,NA,NA,"Animalia",NA,"Axinellida",NA,NA,"Porifera",NA,"Hymeraphia stellifera","Heteroscleromorpha","Raspailiinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Illex","Cephalopoda","Ommastrephidae","Illex",NA,NA,NA,NA,NA,"Animalia",NA,"Oegopsida",NA,NA,"Mollusca",NA,NA,"Coleoidea","Illicinae",NA,NA,NA,NA,NA,NA,"Ommastrephoidea","Decapodiformes",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Lafoea dumosa","Hydrozoa","Lafoeidae","Lafoea",NA,NA,NA,NA,NA,"Animalia",NA,"Leptothecata",NA,NA,"Cnidaria",NA,"Lafoea dumosa","Hydroidolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Lagenorhynchus acutus","Mammalia","Delphinidae","Lagenorhynchus",NA,NA,NA,"Cetacea","Gnathostomata","Animalia","Tetrapoda","Cetartiodactyla",NA,NA,"Chordata",NA,"Lagenorhynchus acutus","Theria",NA,NA,"Cetancodonta","Vertebrata",NA,NA,NA,"Odontoceti",NA,NA,"worms",FALSE,FALSE,TRUE,FALSE
"Lamna nasus","Elasmobranchii","Lamnidae","Lamna",NA,"Selachii",NA,NA,"Gnathostomata","Animalia",NA,"Lamniformes",NA,"Chondrichthyes","Chordata",NA,"Lamna nasus","Neoselachii",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,"Galeomorphi",NA,"worms",FALSE,FALSE,TRUE,TRUE
"Lamniformes","Elasmobranchii",NA,NA,NA,"Selachii",NA,NA,"Gnathostomata","Animalia",NA,"Lamniformes",NA,"Chondrichthyes","Chordata",NA,NA,"Neoselachii",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,"Galeomorphi",NA,"worms",FALSE,FALSE,TRUE,FALSE
"Laonice","Polychaeta","Spionidae","Laonice",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Spionida",NA,NA,"Annelida",NA,NA,"Sedentaria",NA,NA,"Spioniformia",NA,NA,NA,NA,NA,NA,NA,"worms",FALSE,TRUE,FALSE,FALSE
"Laonice cirrata","Polychaeta","Spionidae","Laonice",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Spionida",NA,NA,"Annelida",NA,"Laonice cirrata","Sedentaria",NA,NA,"Spioniformia",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Laonice sarsi","Polychaeta","Spionidae","Laonice",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Spionida",NA,NA,"Annelida",NA,"Laonice sarsi","Sedentaria",NA,NA,"Spioniformia",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Leaena ebranchiata","Polychaeta","Terebellidae","Leaena",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Terebellida",NA,NA,"Annelida",NA,"Leaena ebranchiata","Sedentaria","Terebellinae",NA,"Terebelliformia",NA,NA,NA,NA,NA,NA,"Terebellini","worms",TRUE,FALSE,FALSE,FALSE
"Leptasterias littoralis","Asteroidea","Asteriidae","Leptasterias",NA,NA,NA,NA,NA,"Animalia",NA,"Forcipulatida",NA,NA,"Echinodermata",NA,"Leptasterias littoralis",NA,NA,NA,NA,"Asterozoa",NA,NA,NA,NA,"Forcipulatacea",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Leptasterias polaris","Asteroidea","Asteriidae","Leptasterias",NA,NA,NA,NA,NA,"Animalia",NA,"Forcipulatida",NA,NA,"Echinodermata",NA,"Leptasterias polaris",NA,NA,NA,NA,"Asterozoa",NA,NA,NA,NA,"Forcipulatacea",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Leptoclinus maculatus","Actinopteri","Stichaeidae","Leptoclinus","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Leptoclinus maculatus","Teleostei","Lumpeninae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,FALSE,TRUE
"Leptothecata","Hydrozoa",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,"Leptothecata",NA,NA,"Cnidaria",NA,NA,"Hydroidolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Lestidiops ringens","Actinopteri","Paralepididae","Lestidiops","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Aulopiformes",NA,"Osteichthyes","Chordata",NA,"Lestidiops ringens","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,FALSE,TRUE
"Leuckartiara nobilis","Hydrozoa","Pandeidae","Leuckartiara",NA,NA,NA,NA,NA,"Animalia",NA,"Anthoathecata",NA,NA,"Cnidaria",NA,"Leuckartiara nobilis","Hydroidolina",NA,NA,"Filifera",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Leuckartiara octona","Hydrozoa","Pandeidae","Leuckartiara",NA,NA,NA,NA,NA,"Animalia",NA,"Anthoathecata",NA,NA,"Cnidaria",NA,"Leuckartiara octona","Hydroidolina",NA,NA,"Filifera",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Leucoraja erinacea","Elasmobranchii","Rajidae","Leucoraja",NA,"Batoidea",NA,NA,"Gnathostomata","Animalia",NA,"Rajiformes",NA,"Chondrichthyes","Chordata",NA,"Leucoraja erinacea","Neoselachii",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,TRUE,TRUE
"Leucoraja ocellata","Elasmobranchii","Rajidae","Leucoraja",NA,"Batoidea",NA,NA,"Gnathostomata","Animalia",NA,"Rajiformes",NA,"Chondrichthyes","Chordata",NA,"Leucoraja ocellata","Neoselachii",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,FALSE
"Limacina helicina","Gastropoda","Limacinidae","Limacina",NA,"Euthyneura",NA,NA,NA,"Animalia",NA,"Pteropoda",NA,NA,"Mollusca",NA,"Limacina helicina","Heterobranchia",NA,NA,"Euthecosomata",NA,NA,"Tectipleura",NA,"Limacinoidea",NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Liparis gibbus","Actinopteri","Liparidae","Liparis","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Liparis gibbus","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,FALSE
"Liparis inquilinus","Actinopteri","Liparidae","Liparis","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Liparis inquilinus","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,FALSE,TRUE
"Lophius americanus","Actinopteri","Lophiidae","Lophius","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Lophiiformes",NA,"Osteichthyes","Chordata",NA,"Lophius americanus","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,TRUE,TRUE
"Loxosomella",NA,"Loxosomatidae","Loxosomella",NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"Entoprocta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",FALSE,TRUE,FALSE,FALSE
"Lumpenus lampretaeformis","Actinopteri","Stichaeidae","Lumpenus","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Lumpenus lampretaeformis","Teleostei","Lumpeninae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,TRUE,TRUE
"Lycenchelys kolthoffi","Actinopteri","Zoarcidae","Lycenchelys","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Lycenchelys kolthoffi","Teleostei","Lycodinae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,TRUE
"Lycodes vahlii","Actinopteri","Zoarcidae","Lycodes","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Lycodes vahlii","Teleostei","Lycodinae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Macoma calcarea","Bivalvia","Tellinidae","Macoma",NA,"Heteroconchia",NA,NA,NA,"Animalia",NA,"Cardiida",NA,NA,"Mollusca",NA,"Macoma calcarea","Autobranchia","Macominae",NA,NA,NA,NA,"Euheterodonta",NA,"Tellinoidea","Imparidentia",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Malacoraja kreffti","Elasmobranchii","Rajidae","Malacoraja",NA,"Batoidea",NA,NA,"Gnathostomata","Animalia",NA,"Rajiformes",NA,"Chondrichthyes","Chordata",NA,"Malacoraja kreffti","Neoselachii",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,FALSE,TRUE
"Maldane sarsi","Polychaeta","Maldanidae","Maldane",NA,"Scolecida",NA,NA,NA,"Animalia",NA,NA,NA,NA,"Annelida",NA,"Maldane sarsi","Sedentaria","Maldaninae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Maxillopoda","Maxillopoda",NA,NA,NA,NA,NA,NA,NA,"Animalia",NA,NA,NA,NA,"Arthropoda",NA,NA,NA,NA,NA,NA,"Crustacea",NA,NA,NA,NA,NA,NA,"worms",FALSE,TRUE,FALSE,FALSE
"Meganyctiphanes norvegica","Malacostraca","Euphausiidae","Meganyctiphanes",NA,NA,NA,NA,NA,"Animalia",NA,"Euphausiacea",NA,NA,"Arthropoda",NA,"Meganyctiphanes norvegica","Eumalacostraca",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Eucarida",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Megaptera novaeangliae","Mammalia","Balaenopteridae","Megaptera",NA,NA,NA,"Cetacea","Gnathostomata","Animalia","Tetrapoda","Cetartiodactyla",NA,NA,"Chordata",NA,"Megaptera novaeangliae","Theria",NA,NA,"Cetancodonta","Vertebrata",NA,NA,NA,"Mysticeti",NA,NA,"worms",TRUE,FALSE,TRUE,FALSE
"Melanogrammus aeglefinus","Actinopteri","Gadidae","Melanogrammus","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Gadiformes",NA,"Osteichthyes","Chordata",NA,"Melanogrammus aeglefinus","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,TRUE
"Melicertum octocostatum","Hydrozoa","Melicertidae","Melicertum",NA,NA,NA,NA,NA,"Animalia",NA,"Leptothecata",NA,NA,"Cnidaria",NA,"Melicertum octocostatum","Hydroidolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Melinna cristata","Polychaeta","Melinnidae","Melinna",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Terebellida",NA,NA,"Annelida",NA,"Melinna cristata","Sedentaria",NA,NA,"Terebelliformia",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Membranipora membranacea","Gymnolaemata","Membraniporidae","Membranipora",NA,NA,NA,NA,NA,"Animalia",NA,"Cheilostomatida",NA,NA,"Bryozoa",NA,"Membranipora membranacea",NA,NA,NA,"Membraniporina",NA,NA,NA,NA,"Membraniporoidea",NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Merluccius albidus","Actinopteri","Merlucciidae","Merluccius","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Gadiformes",NA,"Osteichthyes","Chordata",NA,"Merluccius albidus","Teleostei","Merlucciinae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,TRUE,TRUE
"Merluccius bilinearis","Actinopteri","Merlucciidae","Merluccius","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Gadiformes",NA,"Osteichthyes","Chordata",NA,"Merluccius bilinearis","Teleostei","Merlucciinae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,TRUE,TRUE
"Metridia lucens","Hexanauplia","Metridinidae","Metridia",NA,"Neocopepoda",NA,NA,NA,"Animalia",NA,"Calanoida",NA,NA,"Arthropoda",NA,"Metridia lucens","Copepoda",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Gymnoplea",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Metridium","Anthozoa","Metridiidae","Metridium",NA,NA,NA,NA,NA,"Animalia",NA,"Actiniaria",NA,NA,"Cnidaria",NA,NA,"Hexacorallia",NA,NA,"Enthemonae",NA,NA,NA,NA,"Metridioidea",NA,NA,"worms",TRUE,FALSE,TRUE,FALSE
"Mitrocomella polydiademata","Hydrozoa","Mitrocomidae","Mitrocomella",NA,NA,NA,NA,NA,"Animalia",NA,"Leptothecata",NA,NA,"Cnidaria",NA,"Mitrocomella polydiademata","Hydroidolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Molgula complanata","Ascidiacea","Molgulidae","Molgula",NA,NA,NA,NA,NA,"Animalia",NA,"Stolidobranchia",NA,NA,"Chordata",NA,"Molgula complanata",NA,NA,NA,NA,"Tunicata",NA,NA,NA,NA,NA,NA,"worms",FALSE,TRUE,FALSE,FALSE
"Myoxocephalus octodecemspinosus","Actinopteri","Cottidae","Myoxocephalus","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Myoxocephalus octodecemspinosus","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,TRUE
"Myoxocephalus scorpius","Actinopteri","Cottidae","Myoxocephalus","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Perciformes",NA,"Osteichthyes","Chordata",NA,"Myoxocephalus scorpius","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,FALSE,TRUE
"Mytilus edulis","Bivalvia","Mytilidae","Mytilus",NA,"Pteriomorphia",NA,NA,NA,"Animalia",NA,"Mytilida",NA,NA,"Mollusca",NA,"Mytilus edulis","Autobranchia","Mytilinae",NA,NA,NA,NA,NA,NA,"Mytiloidea",NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Myxicola","Polychaeta","Sabellidae","Myxicola",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Sabellida",NA,NA,"Annelida",NA,NA,"Sedentaria","Myxicolinae",NA,NA,NA,NA,NA,NA,NA,NA,"Myxicolini","worms",FALSE,TRUE,FALSE,FALSE
"Myxicola infundibulum","Polychaeta","Sabellidae","Myxicola",NA,"Canalipalpata",NA,NA,NA,"Animalia",NA,"Sabellida",NA,NA,"Annelida",NA,"Myxicola infundibulum","Sedentaria","Myxicolinae",NA,NA,NA,NA,NA,NA,NA,NA,"Myxicolini","worms",TRUE,FALSE,FALSE,FALSE
"Myxidium","Myxozoa","Myxidiidae","Myxidium",NA,NA,NA,NA,NA,"Animalia",NA,"Bivalvulida",NA,NA,"Cnidaria",NA,NA,"Myxosporea",NA,NA,"Variisporina",NA,NA,NA,NA,NA,NA,NA,"worms",FALSE,TRUE,FALSE,FALSE
"Myxine limosa","Myxini","Myxinidae","Myxine",NA,NA,NA,NA,"Agnatha","Animalia",NA,"Myxiniformes",NA,NA,"Chordata",NA,"Myxine limosa",NA,"Myxininae",NA,NA,"Vertebrata",NA,NA,"Cyclostomi",NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Nanomia cara","Hydrozoa","Agalmatidae","Nanomia",NA,NA,NA,NA,NA,"Animalia",NA,"Siphonophorae",NA,NA,"Cnidaria",NA,"Nanomia cara","Hydroidolina",NA,NA,"Physonectae",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Nematoscelis megalops","Malacostraca","Euphausiidae","Nematoscelis",NA,NA,NA,NA,NA,"Animalia",NA,"Euphausiacea",NA,NA,"Arthropoda",NA,"Nematoscelis megalops","Eumalacostraca",NA,NA,NA,"Crustacea",NA,NA,"Multicrustacea",NA,"Eucarida",NA,"worms",TRUE,FALSE,FALSE,FALSE
"Nereis pelagica","Polychaeta","Nereididae","Nereis",NA,NA,NA,NA,NA,"Animalia",NA,"Phyllodocida",NA,NA,"Annelida",NA,"Nereis pelagica","Errantia","Nereidinae",NA,"Nereidiformia",NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Nezumia bairdii","Actinopteri","Macrouridae","Nezumia","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Gadiformes",NA,"Osteichthyes","Chordata",NA,"Nezumia bairdii","Teleostei","Macrourinae",NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,TRUE,FALSE
"Nothria conchylega","Polychaeta","Onuphidae","Nothria",NA,NA,NA,NA,NA,"Animalia",NA,"Eunicida",NA,NA,"Annelida",NA,"Nothria conchylega","Errantia","Hyalinoeciinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
"Notomastus latericeus","Polychaeta","Capitellidae","Notomastus",NA,"Scolecida",NA,NA,NA,"Animalia",NA,NA,NA,NA,"Annelida",NA,"Notomastus latericeus","Sedentaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"worms",FALSE,TRUE,FALSE,FALSE
"Notoscopelus elongatus","Actinopteri","Myctophidae","Notoscopelus","Actinopterygii",NA,NA,NA,"Gnathostomata","Animalia",NA,"Myctophiformes",NA,"Osteichthyes","Chordata",NA,"Notoscopelus elongatus","Teleostei",NA,NA,NA,"Vertebrata",NA,NA,NA,NA,NA,NA,"worms",FALSE,FALSE,FALSE,TRUE
