"call","kingdom","subkingdom","infrakingdom","phylum","subphylum","infraphylum","superclass","class","superorder","order","family","subfamily","genus","species","taxID","db","CO1","m18s","m12s","m16s"
"Myoxocephalus octodecemspinosus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Cottidae",NA,"Myoxocephalus","Myoxocephalus octodecemspinosus","167320","itis",FALSE,FALSE,TRUE,TRUE
"Myoxocephalus scorpius","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Cottidae",NA,"Myoxocephalus","Myoxocephalus scorpius","167318","itis",FALSE,FALSE,FALSE,TRUE
"Mytilus edulis","Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Bivalvia",NA,"Mytiloida","Mytilidae",NA,"Mytilus","Mytilus edulis","79454","itis",TRUE,FALSE,FALSE,FALSE
"Myxicola","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Sabellida","Sabellidae",NA,"Myxicola",NA,NA,"itis",FALSE,TRUE,FALSE,FALSE
"Myxicola infundibulum","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Sabellida","Sabellidae",NA,"Myxicola","Myxicola infundibulum","68125","itis",TRUE,FALSE,FALSE,FALSE
"Myxidium","Animalia","Radiata",NA,"Cnidaria","Myxozoa",NA,NA,"Myxosporea",NA,"Bipolarina","Myxidiidae",NA,"Myxidium",NA,NA,"itis",FALSE,TRUE,FALSE,FALSE
"Myxine limosa","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Agnatha",NA,"Myxini",NA,"Myxiniformes","Myxinidae","Myxininae","Myxine","Myxine limosa","622239","itis",TRUE,FALSE,FALSE,FALSE
"Nanomia cara","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Hydrozoa",NA,"Siphonophorae","Agalmatidae",NA,"Nanomia","Nanomia cara","51388","itis",TRUE,FALSE,FALSE,FALSE
"Nematoscelis megalops","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Malacostraca","Eucarida","Euphausiacea","Euphausiidae",NA,"Nematoscelis","Nematoscelis megalops","95542","itis",TRUE,FALSE,FALSE,FALSE
"Neottiura bimaculata","Animalia","Bilateria","Protostomia","Arthropoda","Chelicerata",NA,NA,"Euchelicerata",NA,"Araneae","Theridiidae",NA,"Neottiura","Neottiura bimaculata","862575","itis",TRUE,FALSE,FALSE,FALSE
"Nereis pelagica","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Phyllodocida","Nereididae",NA,"Nereis","Nereis pelagica","65905","itis",TRUE,FALSE,FALSE,FALSE
"Nezumia bairdii","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Macrouridae","Macrourinae","Nezumia","Nezumia bairdii","165395","itis",FALSE,FALSE,TRUE,FALSE
"Nothria conchylega","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Eunicida","Onuphidae",NA,"Nothria","Nothria conchylega","66190","itis",TRUE,FALSE,FALSE,FALSE
"Notomastus latericeus","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,NA,"Capitellidae",NA,"Notomastus","Notomastus latericeus",NA,"itis",FALSE,TRUE,FALSE,FALSE
"Notoscopelus elongatus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Scopelomorpha","Myctophiformes","Myctophidae","Lampanyctinae","Notoscopelus","Notoscopelus elongatus","162659","itis",FALSE,FALSE,FALSE,TRUE
"Obelia","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Hydrozoa",NA,"Leptothecatae","Campanulariidae",NA,"Obelia",NA,"49514","itis",TRUE,FALSE,FALSE,FALSE
"Oithona similis","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Podoplea","Cyclopoida","Oithonidae",NA,"Oithona","Oithona similis","88805","itis",TRUE,FALSE,FALSE,FALSE
"Oncorhynchus mykiss","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Protacanthopterygii","Salmoniformes","Salmonidae","Salmoninae","Oncorhynchus","Oncorhynchus mykiss","161989","itis",TRUE,FALSE,FALSE,TRUE
"Ophelina acuminata","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,NA,"Opheliidae",NA,"Ophelina","Ophelina acuminata","67391","itis",TRUE,FALSE,FALSE,FALSE
"Ophiopholis aculeata","Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Ophiuroidea",NA,"Ophiurida","Ophiactidae",NA,"Ophiopholis","Ophiopholis aculeata","157617","itis",TRUE,FALSE,FALSE,FALSE
"Ophiura","Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Ophiuroidea",NA,"Ophiurida","Ophiuridae",NA,"Ophiura",NA,"157411","itis",TRUE,FALSE,FALSE,FALSE
"Ophiuroidea","Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Ophiuroidea",NA,NA,NA,NA,NA,NA,"157325","itis",TRUE,FALSE,FALSE,FALSE
"Owenia fusiformis","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Sabellida","Oweniidae",NA,"Owenia","Owenia fusiformis","67647","itis",TRUE,FALSE,FALSE,FALSE
"Paracalanidae","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Gymnoplea","Calanoida","Paracalanidae",NA,NA,NA,"85321","itis",TRUE,FALSE,FALSE,FALSE
"Paracalanus","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Gymnoplea","Calanoida","Paracalanidae",NA,"Paracalanus",NA,"85322","itis",TRUE,FALSE,FALSE,FALSE
"Paraeuchaeta norvegica","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Gymnoplea","Calanoida","Euchaetidae",NA,"Paraeuchaeta","Paraeuchaeta norvegica","85544","itis",TRUE,FALSE,FALSE,FALSE
"Paramphinome jeffreysii","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Amphinomida","Amphinomidae",NA,"Paramphinome","Paramphinome jeffreysii","65185","itis",TRUE,FALSE,FALSE,FALSE
"Paranerilla limicola","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,NA,"Nerillidae",NA,"Paranerilla","Paranerilla limicola",NA,"itis",FALSE,TRUE,FALSE,FALSE
"Pectinaria granulata","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Terebellida","Pectinariidae",NA,"Pectinaria","Pectinaria granulata","67711","itis",TRUE,FALSE,FALSE,FALSE
"Pennatula aculeata","Animalia","Radiata",NA,"Cnidaria","Anthozoa",NA,NA,"Anthozoa",NA,"Pennatulacea","Pennatulidae",NA,"Pennatula","Pennatula aculeata","52418","itis",TRUE,FALSE,FALSE,FALSE
"Phacellophora camtschatica","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Scyphozoa",NA,"Semaeostomeae","Ulmaridae","Sthenoniinae","Phacellophora","Phacellophora camtschatica","51696","itis",TRUE,FALSE,FALSE,FALSE
"Phascolion strombus","Animalia","Bilateria","Protostomia","Sipuncula",NA,NA,NA,"Sipunculidea",NA,"Golfingiiformes","Phascoliidae",NA,"Phascolion","Phascolion strombus",NA,"itis",FALSE,TRUE,FALSE,FALSE
"Pherusa affinis","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Terebellida","Flabelligeridae",NA,"Pherusa","Pherusa affinis","67247","itis",TRUE,FALSE,FALSE,FALSE
"Phocoena phocoena","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Mammalia",NA,"Cetacea","Phocoenidae",NA,"Phocoena","Phocoena phocoena","180473","itis",TRUE,FALSE,TRUE,FALSE
"Pholis gunnellus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Pholidae",NA,"Pholis","Pholis gunnellus","171645","itis",FALSE,FALSE,TRUE,TRUE
"Phycis chesteri","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Gadidae","Phycinae","Phycis","Phycis chesteri","164734","itis",FALSE,FALSE,TRUE,TRUE
"Phyllodoce groenlandica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phyllodoce groenlandica","65233","itis",TRUE,FALSE,FALSE,FALSE
"Pleuromamma borealis","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Gymnoplea","Calanoida","Metridinidae",NA,"Pleuromamma","Pleuromamma borealis","85753","itis",TRUE,FALSE,FALSE,FALSE
"Pleuronectidae","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Pleuronectiformes","Pleuronectidae",NA,NA,NA,"172859","itis",FALSE,FALSE,TRUE,TRUE
"Plexauridae","Animalia","Radiata",NA,"Cnidaria","Anthozoa",NA,NA,"Anthozoa",NA,"Alcyonacea","Plexauridae",NA,NA,NA,"52172","itis",TRUE,FALSE,FALSE,FALSE
"Plotocnide borealis","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Hydrozoa",NA,"Anthoathecatae",NA,NA,"Plotocnide","Plotocnide borealis","48934","itis",TRUE,FALSE,FALSE,FALSE
"Pollachius virens","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Paracanthopterygii","Gadiformes","Gadidae","Gadinae","Pollachius","Pollachius virens","164727","itis",TRUE,FALSE,TRUE,TRUE
"Priapulus caudatus","Animalia","Bilateria","Protostomia","Priapulida",NA,NA,NA,NA,NA,NA,"Priapulidae",NA,"Priapulus","Priapulus caudatus","155156","itis",TRUE,TRUE,FALSE,FALSE
"Prionace glauca","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Carcharhiniformes","Carcharhinidae",NA,"Prionace","Prionace glauca","160424","itis",FALSE,FALSE,TRUE,TRUE
"Protomyctophum arcticum","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Scopelomorpha","Myctophiformes","Myctophidae","Myctophinae","Protomyctophum","Protomyctophum arcticum","162689","itis",FALSE,FALSE,TRUE,FALSE
"Protosuberites","Animalia","Radiata",NA,"Porifera",NA,NA,NA,"Demospongiae",NA,"Hadromerida","Suberitidae",NA,"Protosuberites",NA,"659298","itis",TRUE,FALSE,FALSE,FALSE
"Pseudocalanus mimus","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Gymnoplea","Calanoida","Clausocalanidae",NA,"Pseudocalanus","Pseudocalanus mimus","667023","itis",TRUE,FALSE,FALSE,FALSE
"Pseudocalanus minutus","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Gymnoplea","Calanoida","Clausocalanidae",NA,"Pseudocalanus","Pseudocalanus minutus","85371","itis",TRUE,FALSE,FALSE,FALSE
"Pseudocalanus moultoni","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Gymnoplea","Calanoida","Clausocalanidae",NA,"Pseudocalanus","Pseudocalanus moultoni","667024","itis",TRUE,FALSE,FALSE,FALSE
"Pseudocalanus newmani","Animalia","Bilateria","Protostomia","Arthropoda","Crustacea",NA,NA,"Maxillopoda","Gymnoplea","Calanoida","Clausocalanidae",NA,"Pseudocalanus","Pseudocalanus newmani","202548","itis",TRUE,FALSE,FALSE,FALSE
"Pseudopleuronectes americanus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectinae","Pseudopleuronectes","Pseudopleuronectes americanus","172905","itis",FALSE,FALSE,TRUE,FALSE
"Pseudopotamilla reniformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pseudopotamilla reniformis","68137","itis",TRUE,TRUE,FALSE,FALSE
"Pseudosuberites","Animalia","Radiata",NA,"Porifera",NA,NA,NA,"Demospongiae",NA,"Hadromerida","Suberitidae",NA,"Pseudosuberites",NA,"48502","itis",TRUE,FALSE,FALSE,FALSE
"Psolus phantapus","Animalia","Bilateria","Deuterostomia","Echinodermata","Echinozoa",NA,NA,"Holothuroidea",NA,"Dendrochirotida","Psolidae",NA,"Psolus","Psolus phantapus","158156","itis",TRUE,FALSE,FALSE,FALSE
"Raja radiata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raja radiata","160876","itis",FALSE,FALSE,TRUE,FALSE
"Rajidae","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Rajiformes","Rajidae",NA,NA,NA,"160845","itis",TRUE,FALSE,FALSE,FALSE
"Rhizocaulus verticillatus","Animalia","Radiata",NA,"Cnidaria","Medusozoa",NA,NA,"Hydrozoa",NA,"Leptothecatae","Campanulariidae",NA,"Rhizocaulus","Rhizocaulus verticillatus","49667","itis",TRUE,FALSE,FALSE,FALSE
"Sabellides octocirrata","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Terebellida","Ampharetidae",NA,"Sabellides","Sabellides octocirrata","67773","itis",TRUE,FALSE,FALSE,FALSE
"Salmo salar","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Protacanthopterygii","Salmoniformes","Salmonidae","Salmoninae","Salmo","Salmo salar","161996","itis",TRUE,FALSE,TRUE,TRUE
"Scaphander punctostriatus","Animalia","Bilateria","Protostomia","Mollusca",NA,NA,NA,"Gastropoda",NA,"Cephalaspidea","Cylichnidae",NA,"Scaphander","Scaphander punctostriatus","76166","itis",TRUE,FALSE,FALSE,FALSE
"Sciaphilus asperatus","Animalia","Bilateria","Protostomia","Arthropoda","Hexapoda",NA,NA,"Insecta","Holometabola","Coleoptera","Curculionidae",NA,"Sciaphilus","Sciaphilus asperatus","618966","itis",TRUE,FALSE,FALSE,FALSE
"Scoloplos","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,NA,"Orbiniidae",NA,"Scoloplos",NA,"66594","itis",TRUE,FALSE,FALSE,FALSE
"Scomber scombrus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Perciformes","Scombridae","Scombrinae","Scomber","Scomber scombrus","172414","itis",TRUE,FALSE,TRUE,TRUE
"Scomberesox saurus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Beloniformes","Scomberesocidae",NA,"Scomberesox","Scomberesox saurus","165612","itis",FALSE,FALSE,FALSE,TRUE
"Scophthalmus aquosus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Pleuronectiformes","Scophthalmidae",NA,"Scophthalmus","Scophthalmus aquosus","172746","itis",FALSE,FALSE,TRUE,FALSE
"Sebastes","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Scorpaenidae",NA,"Sebastes",NA,"166705","itis",FALSE,FALSE,FALSE,TRUE
"Sebastes entomelas","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Scorpaenidae",NA,"Sebastes","Sebastes entomelas","166719","itis",FALSE,FALSE,FALSE,TRUE
"Sebastes fasciatus","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Scorpaenidae",NA,"Sebastes","Sebastes fasciatus","166774","itis",FALSE,FALSE,TRUE,FALSE
"Sebastes mentella","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Actinopterygii","Teleostei","Acanthopterygii","Scorpaeniformes","Scorpaenidae",NA,"Sebastes","Sebastes mentella","166756","itis",FALSE,FALSE,TRUE,FALSE
"Smittia","Animalia","Bilateria","Protostomia","Arthropoda","Hexapoda",NA,NA,"Insecta","Holometabola","Diptera","Chironomidae","Orthocladiinae","Smittia",NA,"129110","itis",TRUE,FALSE,FALSE,FALSE
"Solaster dawsoni","Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Valvatacea","Valvatida","Solasteridae",NA,"Solaster","Solaster dawsoni","157075","itis",FALSE,FALSE,TRUE,FALSE
"Solaster endeca","Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Valvatacea","Valvatida","Solasteridae",NA,"Solaster","Solaster endeca","157076","itis",TRUE,FALSE,FALSE,FALSE
"Spionidae","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Spionida","Spionidae",NA,NA,NA,"66781","itis",TRUE,FALSE,FALSE,FALSE
"Squalus acanthias","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Chondrichthyes","Chondrichthyes","Euselachii","Squaliformes","Squalidae",NA,"Squalus","Squalus acanthias","160617","itis",TRUE,FALSE,TRUE,TRUE
"Stenella coeruleoalba","Animalia","Bilateria","Deuterostomia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Mammalia",NA,"Cetacea","Delphinidae",NA,"Stenella","Stenella coeruleoalba","180434","itis",TRUE,FALSE,FALSE,FALSE
"Stephanasterias albula","Animalia","Bilateria","Deuterostomia","Echinodermata","Asterozoa",NA,NA,"Asteroidea","Forcipulatacea","Forcipulatida","Asteriidae",NA,"Stephanasterias","Stephanasterias albula","157291","itis",TRUE,FALSE,FALSE,FALSE
"Stereobalanus canadensis","Animalia","Bilateria","Deuterostomia","Hemichordata",NA,NA,NA,"Enteropneusta",NA,NA,"Harrimaniidae",NA,"Stereobalanus","Stereobalanus canadensis","158623","itis",TRUE,FALSE,FALSE,FALSE
"Sternaspis scutata","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Terebellida","Sternaspidae",NA,"Sternaspis","Sternaspis scutata","67411","itis",TRUE,FALSE,FALSE,FALSE
"Streblosoma","Animalia","Bilateria","Protostomia","Annelida",NA,NA,NA,"Polychaeta",NA,"Terebellida","Thelepodidae",NA,"Streblosoma",NA,NA,"itis",FALSE,TRUE,FALSE,FALSE
"Strongylocentrotus","Animalia","Bilateria","Deuterostomia","Echinodermata","Echinozoa",NA,NA,"Echinoidea","Echinacea","Echinoida","Strongylocentrotidae",NA,"Strongylocentrotus",NA,"157968","itis",TRUE,FALSE,FALSE,FALSE
"Strongylocentrotus droebachiensis","Animalia","Bilateria","Deuterostomia","Echinodermata","Echinozoa",NA,NA,"Echinoidea","Echinacea","Echinoida","Strongylocentrotidae",NA,"Strongylocentrotus","Strongylocentrotus droebachiensis","157969","itis",TRUE,FALSE,FALSE,FALSE
"Suberites","Animalia","Radiata",NA,"Porifera",NA,NA,NA,"Demospongiae",NA,"Hadromerida","Suberitidae",NA,"Suberites",NA,"48485","itis",TRUE,FALSE,FALSE,FALSE
