"call","kingdom","subkingdom","infrakingdom","phylum","subphylum","infraphylum","superclass","class","superorder","order","family","subfamily","genus","species","taxID","db","CO1","m18s","m12s","m16s"
"Polygordius jouinae","Animalia",NA,NA,"Annelida",NA,NA,NA,"Polychaeta",NA,NA,"Polygordiidae",NA,"Polygordius","Polygordius jouinae","4308144","gbif",TRUE,FALSE,FALSE,FALSE
"Polymastia bartletti","Animalia",NA,NA,"Porifera",NA,NA,NA,"Demospongiae",NA,"Polymastiida","Polymastiidae",NA,"Polymastia","Polymastia bartletti","2251438","gbif",TRUE,FALSE,FALSE,FALSE
"Polyommatus nivescens","Animalia",NA,NA,"Arthropoda",NA,NA,NA,"Insecta",NA,"Lepidoptera","Lycaenidae",NA,"Polyommatus","Polyommatus nivescens","5772702","gbif",TRUE,FALSE,FALSE,FALSE
"Proclea malmgreni","Animalia",NA,NA,"Annelida",NA,NA,NA,"Polychaeta",NA,NA,"Terebellidae",NA,"Proclea","Proclea malmgreni","2325218","gbif",TRUE,FALSE,FALSE,FALSE
"Protosuberites denhartogi","Animalia",NA,NA,"Porifera",NA,NA,NA,"Demospongiae",NA,"Suberitida","Suberitidae",NA,"Protosuberites","Protosuberites denhartogi","2251308","gbif",TRUE,FALSE,FALSE,FALSE
"Protosuberites mereui","Animalia",NA,NA,"Porifera",NA,NA,NA,"Demospongiae",NA,"Suberitida","Suberitidae",NA,"Protosuberites","Protosuberites mereui","9220602","gbif",TRUE,FALSE,FALSE,FALSE
"Scambicornus","Animalia",NA,NA,"Arthropoda",NA,NA,NA,"Hexanauplia",NA,"Cyclopoida","Synapticolidae",NA,"Scambicornus",NA,"4322727","gbif",FALSE,TRUE,FALSE,FALSE
"Spiophanes kroyeri","Animalia",NA,NA,"Annelida",NA,NA,NA,"Polychaeta",NA,NA,"Spionidae",NA,"Spiophanes","Spiophanes kroyeri","2321061","gbif",TRUE,FALSE,FALSE,FALSE
"Terebellides gracilis","Animalia",NA,NA,"Annelida",NA,NA,NA,"Polychaeta",NA,NA,"Trichobranchidae",NA,"Terebellides","Terebellides gracilis","2326251","gbif",TRUE,FALSE,FALSE,FALSE
"Terebellides stroemii","Animalia",NA,NA,"Annelida",NA,NA,NA,"Polychaeta",NA,NA,"Trichobranchidae",NA,"Terebellides","Terebellides stroemii","2326250","gbif",TRUE,TRUE,FALSE,FALSE
"Terebellides williamsae","Animalia",NA,NA,"Annelida",NA,NA,NA,"Polychaeta",NA,NA,"Trichobranchidae",NA,"Terebellides","Terebellides gracilis","2326251","gbif",TRUE,FALSE,FALSE,FALSE
"Ziminella salmonacea","Animalia",NA,NA,"Mollusca",NA,NA,NA,"Gastropoda",NA,"Nudibranchia","Paracoryphellidae",NA,"Ziminella","Ziminella salmonacea","9575123","gbif",TRUE,FALSE,FALSE,FALSE
"Euclymeninae","Animalia",NA,NA,"Annelida",NA,NA,NA,"Polychaeta",NA,NA,"Maldanidae","Euclymeninae",NA,NA,NA,"worms",TRUE,FALSE,FALSE,FALSE
